Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
150,21.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Feature denoising distillation for medical image segmentation,Qiaoyi Chen; Xiangchun Yu,2024,International Conference on Image Processing and Intelligent Control,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1117/12.3038513,https://www.semanticscholar.org/paper/3eadbcf245c3f2f9f73a4e7f82e13598c219feaa,"Deep convolutional neural networks have achieved remarkable progress in medical image segmentation, yet these large-scale models often require extended inference times. There is an urgent need for lightweight models, and knowledge distillation has emerged as a pivotal focus of current research. This paper introduces a novel knowledge distillation framework, designated as ISKD. Unlike traditional m..."
151,21.5,General,Ensemble Deep Learning Models for Automated Segmentation of Tumor and Lymph Node Volumes in Head and Neck Cancer Using Pre- and Mid-Treatment MRI: Application of Auto3DSeg and SegResNet.,Dominic LaBella,2025,"Head and Neck Tumor Segmentation for MR-Guided Applications : First MICCAI Challenge, HNTS-MRG 2024, held in conjunction with MICCAI 2024, Marrakesh, Morocco, October 17, 2024, proceedings",0,PubMed,masked_image_modeling_medical,10.1007/978-3-031-83274-1_21,https://pubmed.ncbi.nlm.nih.gov/40201772/,"Automated segmentation of gross tumor volumes (GTVp) and lymph nodes (GTVn) in head and neck cancer using MRI presents a critical challenge with significant potential to enhance radiation oncology workflows. In this study, we developed a deep learning pipeline based on the SegResNet architecture, integrated into the Auto3DSeg framework, to achieve fully-automated segmentation on pre-treatment (pre..."
152,21.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation",CPKD: channel-wise and pixel-wise relational knowledge distillation for medical image segmentation,Ziyun Xiong; Xiangchun Yu,2024,International Conference on Image Processing and Artificial Intelligence,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1117/12.3035260,https://www.semanticscholar.org/paper/e043ff0ff50d6fe45953c43b91430d13b1838c18,"Deep neural networks have demonstrated remarkable performance in medical image segmentation tasks. Nevertheless, their efficacy often comes at the cost of high model complexity and sluggish inference speeds. To address these limitations, we explore a new channel-level and pixel-level relational knowledge distillation (CPKD) method to efficiently transfer the abundant relational knowledge from the ..."
153,21.2,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",ACT-NET: Asymmetric Co-Teacher Network for Semi-Supervised Memory-Efficient Medical Image Segmentation,Ziyuan Zhao; An Zhu; Zeng Zeng; B. Veeravalli,2022,International Conference on Information Photonics,11,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICIP46576.2022.9897494,https://www.semanticscholar.org/paper/6f822ae6db06512906816a74327833fdd87cc6f1,"While deep models have shown promising performance in medical image segmentation, they heavily rely on a large amount of well-annotated data, which is difficult to access, especially in clinical practice. On the other hand, high-accuracy deep models usually come in large model sizes, limiting their employment in real scenarios. In this work, we propose a novel asymmetric co-teacher framework, ACT-..."
154,21.2,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation",Exploring Generalizable Distillation for Efficient Medical Image Segmentation,Xingqun Qi; Zhuo Wu; Min Ren; Muyi Sun,2022,IEEE journal of biomedical and health informatics,9,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/JBHI.2024.3385098,https://www.semanticscholar.org/paper/ae493136258a29c3bfc7c3b105faa36bb3f06852,"Efficient medical image segmentation aims to provide accurate pixel-wise predictions with a lightweight implementation framework. However, existing lightweight networks generally overlook the generalizability of the cross-domain medical segmentation tasks. In this paper, we propose Generalizable Knowledge Distillation (GKD), a novel framework for enhancing the performance of lightweight networks o..."
155,21.0,RW:MedicalSegmentation,COVID-19 Severity Prediction from Chest X-ray Images Using an Anatomy-Aware Deep Learning Model.,Nusrat Binta Nizam; Sadi Mohammad Siddiquee; Mahbuba Shirin; Mohammed Imamul Hassan Bhuiyan,2023,Journal of digital imaging,0,PubMed,masked_image_modeling_medical,10.1007/s10278-023-00861-6,https://pubmed.ncbi.nlm.nih.gov/37369941/,"The COVID-19 pandemic has been adversely affecting the patient management systems in hospitals around the world. Radiological imaging, especially chest x-ray and lung Computed Tomography (CT) scans, plays a vital role in the severity analysis of hospitalized COVID-19 patients. However, with an increasing number of patients and a lack of skilled radiologists, automated assessment of COVID-19 severi..."
156,20.5,RW:SelfSupervisedLearning,Diagnosing LLM Judge Reliability: Conformal Prediction Sets and Transitivity Violations,Manan Gupta; Dhruv Kumar,2026,arXiv,0,arXiv,"masked_image_modeling_medical, sparse_masked_cnn_pretraining",N/A,http://arxiv.org/abs/2604.15302v1,"LLM-as-judge frameworks are increasingly used for automatic NLG evaluation, yet their per-instance reliability remains poorly understood. We present a two-pronged diagnostic toolkit applied to SummEval: $\textbf{(1)}$ a transitivity analysis that reveals widespread per-input inconsistency masked by low aggregate violation rates ($\barρ = 0.8$-$4.1\%$), with $33$-$67\%$ of documents exhibiting at l..."
157,20.5,General,MCSC-Bench: Multimodal Context-to-Script Creation for Realistic Video Production,Huanran Hu; Zihui Ren; Dingyi Yang; Liangyu Chen,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15127v1,"Real-world video creation often involves a complex reasoning workflow of selecting relevant shots from noisy materials, planning missing shots for narrative completeness, and organizing them into coherent storylines. However, existing benchmarks focus on isolated sub-tasks and lack support for evaluating this full process. To address this gap, we propose Multimodal Context-to-Script Creation (MCSC..."
158,20.5,General,Building Extraction from Remote Sensing Imagery under Hazy and Low-light Conditions: Benchmark and Baseline,Feifei Sang; Wei Lu; Hongruixuan Chen; Sibao Chen,2026,arXiv,0,arXiv,knowledge_distillation_medical_segmentation,N/A,http://arxiv.org/abs/2604.15088v1,"Building extraction from optical Remote Sensing (RS) imagery suffers from performance degradation under real-world hazy and low-light conditions. However, existing optical methods and benchmarks focus primarily on ideal clear-weather conditions. While SAR offers all-weather sensing, its side-looking geometry causes geometric distortions. To address these challenges, we introduce HaLoBuilding, the ..."
159,20.5,General,Implicit Neural Representations: A Signal Processing Perspective,Dhananjaya Jayasundara; Vishal M. Patel,2026,arXiv,0,arXiv,knowledge_distillation_medical_segmentation,N/A,http://arxiv.org/abs/2604.15047v1,"Implicit neural representations (INRs) mark a fundamental shift in signal modeling, moving from discrete sampled data to continuous functional representations. By parameterizing signals as neural networks, INRs provide a unified framework for representing images, audio, video, 3D geometry, and beyond as continuous functions of their coordinates. This functional viewpoint enables signal operations ..."
160,20.2,RW:KnowledgeDistillation,SRKD: Towards Efficient 3D Point Cloud Segmentation via Structure- and Relation-aware Knowledge Distillation,Yuqi Li; Junhao Dong; Zeyu Dong; Chuanguang Yang,2025,arXiv.org,10,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2506.17290,https://www.semanticscholar.org/paper/689a0af35f5f06499bb111edddd9a9e1f02ada41,"3D point cloud segmentation faces practical challenges due to the computational complexity and deployment limitations of large-scale transformer-based models. To address this, we propose a novel Structure- and Relation-aware Knowledge Distillation framework, named SRKD, that transfers rich geometric and semantic knowledge from a large frozen teacher model (>100M) to a lightweight student model (<1..."
161,20.2,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Shape-intensity knowledge distillation for robust medical image segmentation,Wen-Wen Dong; Bo Du; Yongchao Xu,2024,Frontiers of Computer Science,8,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1007/s11704-024-40462-2,https://www.semanticscholar.org/paper/a5698d206fe979ba8ed1ddfc569f2df05dfa4ccf,"Many medical image segmentation methods have achieved impressive results. Yet, most existing methods do not take into account the shape-intensity prior information. This may lead to implausible segmentation results, in particular for images of unseen datasets. In this paper, we propose a novel approach to incorporate joint shape-intensity prior information into the segmentation network. Specifical..."
162,20.1,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",ScribSD+: Scribble-supervised medical image segmentation based on simultaneous multi-scale knowledge distillation and class-wise contrastive regularization,Yijie Qu; Tao Lu; Shaoting Zhang; Guotai Wang,2024,Comput. Medical Imaging Graph.,6,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1016/j.compmedimag.2024.102416,https://www.semanticscholar.org/paper/6368afd17f11b43e74ece0f3e4f34b87d4729aa7,"Despite that deep learning has achieved state-of-the-art performance for automatic medical image segmentation, it often requires a large amount of pixel-level manual annotations for training. Obtaining these high-quality annotations is time-consuming and requires specialized knowledge, which hinders the widespread application that relies on such annotations to train a model with good segmentation ..."
163,20.1,RW:KnowledgeDistillation,KD-SegNet: Efficient Semantic Segmentation Network with Knowledge Distillation Based on Monocular Camera,T. Dang; Nhu-Nghia Bui; Phan Xuan Tan,2025,"Computers, Materials &amp; Continua",3,Semantic Scholar,knowledge_distillation_medical_segmentation,10.32604/cmc.2025.060605,https://www.semanticscholar.org/paper/cf30916951b9525204de5abbe9e2ed746c877189,": Due to the necessity for lightweight and efficient network models, deploying semantic segmentation models on mobile robots (MRs) is a formidable task. The fundamental limitation of the problem lies in the training performance, the ability to effectively exploit the dataset, and the ability to adapt to complex environments when deploying the model. By utilizing the knowledge distillation techniqu..."
164,20.1,"RW:SelfSupervisedLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Patch-Level Knowledge Distillation and Regularization for Missing Modality Medical Image Segmentation,Ruilin Wang; Xiongfei Li; Mingjie Tian; Feiyang Yang,2024,"IEEE International Conference on Acoustics, Speech, and Signal Processing",3,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICASSP48485.2024.10448218,https://www.semanticscholar.org/paper/45c89a400593af0eda4987b09058e0343fc0581c,"In the context of medical image segmentation, complementary information among multi-modality images can improve segmentation performance. However, acquiring the complete multi-modality data in clinical settings is difficult. To tackle this problem, we propose a novel multi-modality knowledge distillation segmentation framework, which allows the inference performance of single-modality closer to th..."
165,20.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Distillation Learning Guided by Image Reconstruction for One-Shot Medical Image Segmentation,Feng Zhou; Yanjie Zhou; Longjie Wang; Yun Peng,2024,arXiv.org,2,Semantic Scholar,knowledge_distillation_medical_segmentation,10.48550/arXiv.2408.03616,https://www.semanticscholar.org/paper/f9117d939e56b5568bb8a2cfc96172eb69a80a30,"Traditional one-shot medical image segmentation (MIS) methods use registration networks to propagate labels from a reference atlas or rely on comprehensive sampling strategies to generate synthetic labeled data for training. However, these methods often struggle with registration errors and low-quality synthetic images, leading to poor performance and generalization. To overcome this, we introduce..."
166,20.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",EfficientMedSAM: Accelerating Medical Image Segmentation via Neural Architecture Search and Knowledge Distillation,Arnold Caleb Asiimwe; William Das; Hadjer Benmeziane; K. E. Maghraoui,2024,International Conference on Edge Computing [Services Society],2,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/EDGE62653.2024.00030,https://www.semanticscholar.org/paper/eb83cd9284e89f9a9abf828b588b53f39f352d77,"Medical image segmentation is crucial for precise diagnosis, treatment planning, and disease monitoring in clinical practice. Despite the advancements in segmentation models inspired by the Segment Anything Model (SAM) architecture, their real-time application is limited due to computational inefficiencies arising from transformer-based architectures. We introduce EfficientMedSAM, a suite of high-..."
167,20.0,RW:Architecture,Disk-like galaxies at 4 < z < 7.7 : JWST/NIRCam morphologies revealed by denoising VAE-GCNN classification,S. S. Mirzoyan; A. Avagyan; V. G. Gurzadyan,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,10.1093/mnras/stag613,http://arxiv.org/abs/2604.14599v1,Understanding the prevalence of disk-like galaxies at very high redshifts is crucial for constraining the early formation of angular momentum-supported structures. The advent of JWST now permits rest-frame UV and optical morphological studies deep into cosmic epochs where disks have traditionally been considered uncommon. We apply an identical denoising VAE-GCNN classification pipeline to multi-fi...
168,20.0,RW:Architecture,Thermodynamic Diffusion Inference with Minimal Digital Conditioning,Aditi De,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14332v1,"Diffusion-model inference and overdamped Langevin dynamics are formally identical. A physical substrate that encodes the score function therefore equilibrates to the correct output by thermodynamics alone, requiring no digital arithmetic during inference and potentially achieving a $10{,}000\times$ reduction in energy relative to a GPU. Two fundamental barriers have until now prevented this equiva..."
169,20.0,"RW:Architecture, RW:KnowledgeDistillation",Efficient Semantic Segmentation: Leveraging Knowledge Distillation for Modality Reduction,Dadaboev Abdurakhmon; Seohoon Jin,2025,2025 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/AEECA65693.2025.00147,https://www.semanticscholar.org/paper/8d83ca675a7bd1ac6e03eca61e0fffdc7a68692d,"This study aims to improve the efficiency of urban vegetation segmentation by transferring knowledge from a multi-modal model into a simplified single-modal model. Accurate vegetation segmentation is critical for urban planning and environmental management but often relies on complex data sources such as RGB, near-infrared (NIR), and LiDAR. To address this, we first trained a multi-modal U-Net sem..."
170,19.7,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Paced-curriculum distillation with prediction and label uncertainty for image segmentation,Mobarak Islam Hoque; L. Seenivasan; S. Sharan; V. Viekash,2023,International Journal of Computer Assisted Radiology and Surgery,12,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1007/s11548-023-02847-9,https://www.semanticscholar.org/paper/3191f11fe6bef87545572c8c1a7742f2569efda8,"Purpose In curriculum learning, the idea is to train on easier samples first and gradually increase the difficulty, while in self-paced learning, a pacing function defines the speed to adapt the training progress. While both methods heavily rely on the ability to score the difficulty of data samples, an optimal scoring function is still under exploration. Methodology Distillation is a knowledge tr..."
171,19.5,RW:ContinualLearning,How Do LLMs and VLMs Understand Viewpoint Rotation Without Vision? An Interpretability Study,Zhen Yang; Ping Jian; Zhongbin Guo; Zuming Zhang,2026,arXiv,0,arXiv,catastrophic_forgetting_medical,N/A,http://arxiv.org/abs/2604.15294v1,"Over the past year, spatial intelligence has drawn increasing attention. Many prior works study it from the perspective of visual-spatial intelligence, where models have access to visuospatial information from visual inputs. However, in the absence of visual information, whether linguistic intelligence alone is sufficient to endow models with spatial intelligence, and how models perform relevant t..."
172,19.5,"RW:Architecture, RW:KnowledgeDistillation",Efficient Image Reconstruction via Knowledge Distillation in Opto-Electronic Fully Convolutional Networks,Luofei Tu; Zicheng Huang; Zhishun Guo; Jia Fu,2025,IEEE International Geoscience and Remote Sensing Symposium,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/IGARSS55030.2025.11243884,https://www.semanticscholar.org/paper/062e0b4cc319de8a314004b494660024e850e3ef,"Imaging through scattering media remains a significant challenge in optical research. Traditional digital deep learning methods, despite their impressive ability to extract correlation information from speckle patterns, are often constrained by high computational complexity and energy consumption. To address these limitations, this paper proposes an enhanced architecture based on the Optronic Full..."
173,19.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Paced-curriculum distillation with prediction and label uncertainty for image segmentation.,Mobarakol Islam; Lalithkumar Seenivasan; S P Sharan; V K Viekash,2023,International journal of computer assisted radiology and surgery,0,PubMed,knowledge_distillation_medical_segmentation,10.1007/s11548-023-02847-9,https://pubmed.ncbi.nlm.nih.gov/36862365/,"In curriculum learning, the idea is to train on easier samples first and gradually increase the difficulty, while in self-paced learning, a pacing function defines the speed to adapt the training progress. While both methods heavily rely on the ability to score the difficulty of data samples, an optimal scoring function is still under exploration. Distillation is a knowledge transfer approach wher..."
174,19.0,General,Unsupervised Skeleton-Based Action Segmentation via Hierarchical Spatiotemporal Vector Quantization,Umer Ahmed; Syed Ahmed Mahmood; Fawad Javed Fateh; M. Shaheer Luqman,2026,arXiv,0,arXiv,"core_topic, masked_image_modeling_medical, ewc_lwf_replay_segmentation, sequential_organ_segmentation, unet_self_supervised_medical, knowledge_distillation_medical_segmentation, medical_decathlon_benchmark_ssl",N/A,http://arxiv.org/abs/2604.15196v1,"We propose a novel hierarchical spatiotemporal vector quantization framework for unsupervised skeleton-based temporal action segmentation. We first introduce a hierarchical approach, which includes two consecutive levels of vector quantization. Specifically, the lower level associates skeletons with fine-grained subactions, while the higher level further aggregates subactions into action-level rep..."
175,19.0,RW:SelfSupervisedLearning,Structural Dependency Analysis for Masked NTT Hardware: Scalable Pre-Silicon Verification of Post-Quantum Cryptographic Accelerators,Ray Iskander; Khaled Kirah,2026,arXiv,0,arXiv,"masked_image_modeling_medical, sparse_masked_cnn_pretraining",N/A,http://arxiv.org/abs/2604.15249v1,"Post-quantum cryptographic accelerators require side-channel resistance evidence for FIPS 140-3 certification. However, exact masking-verification tools scale only to gadgets of a few thousand cells. We present a four-stage verification hierarchy, D0/D1 structural dependency analysis, fresh-mask refinement, Boolean Single-Authentication Distance Checking (SADC), and arithmetic SADC, that extends s..."
176,19.0,General,RadAgent: A tool-using AI agent for stepwise interpretation of chest computed tomography,Mélanie Roschewitz; Kenneth Styppa; Yitian Tao; Jiwoong Sohn,2026,arXiv,0,arXiv,"masked_image_modeling_medical, catastrophic_forgetting_medical, knowledge_distillation_medical_segmentation, federated_ssl_medical_forgetting",N/A,http://arxiv.org/abs/2604.15231v1,"Vision-language models (VLM) have markedly advanced AI-driven interpretation and reporting of complex medical imaging, such as computed tomography (CT). Yet, existing methods largely relegate clinicians to passive observers of final outputs, offering no interpretable reasoning trace for them to inspect, validate, or refine. To address this, we introduce RadAgent, a tool-using AI agent that generat..."
177,19.0,RW:SelfSupervisedLearning,Fermi-liquid versus non-Fermi-liquid/'strange-metal' fits to the electrical resistivity in the quantum critical magnetic regime of an unconventional superconductor,W. Knafo; T. Thebault; K. Somesh; G. Lapertot,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14952v1,"The question of a possible quantum critical point lying inside of a superconducting phase is central for understanding unconventional superconductivity. In various unconventional superconductors, non-Fermi-liquid/'strange-metal' $T^{n}$ variations, with $n<2$, of the electrical resistivity have been identified as the signature of magnetic quantum criticality. However, a difficulty is to prove expe..."
178,19.0,General,Think in Latent Thoughts: A New Paradigm for Gloss-Free Sign Language Translation,Yiyang Jiang; Li Zhang; Xiao-Yong Wei; Li Qing,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15301v1,"Many SLT systems quietly assume that brief chunks of signing map directly to spoken-language words. That assumption breaks down because signers often create meaning on the fly using context, space, and movement. We revisit SLT and argue that it is mainly a cross-modal reasoning task, not just a straightforward video-to-text conversion. We thus introduce a reasoning-driven SLT framework that uses a..."
179,19.0,General,Unity and Diversity of Intracellular pH Maintenance Mechanisms,Guillaume Terradot; Vincent Danos,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15296v1,"All cells must sustain ionic motive forces (IMFs) -- the electrochemical gradients of permeant ions, together with the membrane potential they produce -- to regulate intracellular pH, drive secondary transport, and power ATP synthesis. Because membranes are imperfectly impermeable, IMFs continuously dissipate through passive leakage, and active transport must compensate at an energetic cost that c..."
180,19.0,General,Superstatistical Approach to Turbulent Circulation Fluctuations,Henrique S. Lima; Rodrigo M. Pereira; Luca Moriconi; Katepalli R. Sreenivasan,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15277v1,"Recent investigations of turbulent circulation fluctuations have uncovered substantial insights into the statistical organization of flow structures and revealed unexpected geometric features of turbulent intermittency. Of particular interest here is the observation that circulation probability distribution functions admit a superstatistical representation, namely a description based on ""ensembles..."
181,19.0,General,Prism: Symbolic Superoptimization of Tensor Programs,Mengdi Wu; Xiaoyu Jiang; Oded Padon; Zhihao Jia,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15272v1,"This paper presents Prism, the first symbolic superoptimizer for tensor programs. The key idea is sGraph, a symbolic, hierarchical representation that compactly encodes large classes of tensor programs by symbolically representing some execution parameters. Prism organizes optimization as a two-level search: it constructs symbolic graphs that represent families of programs, and then instantiates t..."
182,19.0,General,Invertibility and parity in symmetric monoidal categories,Nick Gurski; Niles Johnson,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15142v1,"We introduce a notion of parity for formal morphisms between invertible objects and use it to prove a corresponding coherence theorem. Parity is conceptually similar to the sign of underlying permutations, but not defined as such. To give complete details, this work includes a thorough treatment of the free permutative category on an invertible generator, its skeletal model, known as the super int..."
183,19.0,RW:ContinualLearning,SRMU: Relevance-Gated Updates for Streaming Hyperdimensional Memories,Shay Snyder; Andrew Capodieci; David Gorsich; Maryam Parsa,2026,arXiv,0,arXiv,sequential_organ_segmentation,N/A,http://arxiv.org/abs/2604.15121v1,"Sequential associative memories (SAMs) are difficult to build and maintain in real-world streaming environments, where observations arrive incrementally over time, have imbalanced sampling, and non-stationary temporal dynamics. Vector Symbolic Architectures (VSAs) provide a biologically-inspired framework for building SAMs. Entities and attributes are encoded as quasi-orthogonal hyperdimensional v..."
184,18.5,General,Learning Where to Embed: Noise-Aware Positional Embedding for Query Retrieval in Small-Object Detection,Yangchen Zeng; Zhenyu Yu; Dongming Jiang; Wenbo Zhang,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.15065v1,"Transformer-based detectors have advanced small-object detection, but they often remain inefficient and vulnerable to background-induced query noise, which motivates deep decoders to refine low-quality queries. We present HELP (Heatmap-guided Embedding Learning Paradigm), a noise-aware positional-semantic fusion framework that studies where to embed positional information by selectively preserving..."
185,18.5,General,Predicting Power-System Dynamic Trajectories with Foundation Models,Haoran Li; Lihao Mai; Chenhan Xiao; Erik Blasch,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14991v1,"As power systems transition toward renewable-rich and inverter-dominated operations, accurate time-domain dynamic analysis becomes increasingly critical. Such analysis supports key operational tasks, including transient stability assessment, dynamic security analysis, contingency screening, and post-fault trajectory evaluation. In practice, these tasks may operate under several challenges, includi..."
186,18.5,General,Improving Sparse Autoencoder with Dynamic Attention,Dongsheng Wang; Jinsen Zhang; Dawei Su; Hui Huang,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14925v1,"Recently, sparse autoencoders (SAEs) have emerged as a promising technique for interpreting activations in foundation models by disentangling features into a sparse set of concepts. However, identifying the optimal level of sparsity for each neuron remains challenging in practice: excessive sparsity can lead to poor reconstruction, whereas insufficient sparsity may harm interpretability. While exi..."
187,18.5,General,Generative Modeling of Complex-Valued Brain MRI Data,Marco Schlimbach; Moritz Rempe; Jessica Mnischek; Lukas T. Rotkopf,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14800v1,"Objective. Standard Magnetic Resonance Imaging (MRI) reconstruction pipelines discard phase information captured during acquisition, despite evidence that it encodes tissue properties relevant to tumor diagnosis. Current machine learning approaches inherit this limitation by operating exclusively on reconstructed magnitude images. The aim of this study is to build a generative framework which is c..."
188,18.5,General,Improving Machine Learning Performance with Synthetic Augmentation,Mel Sohm; Charles Dezons; Sami Sellami; Oscar Ninou,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14498v1,"Synthetic augmentation is increasingly used to mitigate data scarcity in financial machine learning, yet its statistical role remains poorly understood. We formalize synthetic augmentation as a modification of the effective training distribution and show that it induces a structural bias--variance trade-off: while additional samples may reduce estimation error, they may also shift the population o..."
189,18.5,General,Non-intrusive Learning of Physics-Informed Spatio-temporal Surrogate for Accelerating Design,Sudeepta Mondal; Soumalya Sarkar,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14424v1,"Most practical engineering design problems involve nonlinear spatio-temporal dynamical systems. Multi-physics simulations are often performed to capture the fine spatio-temporal scales which govern the evolution of these systems. However, these simulations are often high-fidelity in nature, and can be computationally very expensive. Hence, generating data from these expensive simulations becomes a..."
190,18.5,RW:KnowledgeDistillation,A2 K Net: A Lightweight Knowledge Distillation Framework for Efficient Image Enhancement,M. Usha; G. Kannan; A. M; Ashrath Nisha A,2025,2025 International Conference on Emerging Trends in Signal Processing & Computational Intelligence (ICCSPCI),0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICCSPCI68199.2025.11451188,https://www.semanticscholar.org/paper/1174e7de80f4b20bb5cbf042d7a01ad0ce9e5ac0,"Image deblurring is a major challenge in computer vision. Motion blur, defocus, and camera shake lower image quality and obstruct important uses like surveillance, autonomous navigation, medical imaging, and consumer photography. This work introduces a framework for image sharpening based on knowledge distillation (KD). In this setup, a deep convolutional neural network (CNN) teacher model shares ..."
191,18.0,RW:KnowledgeDistillation,Simultaneous Learning Knowledge Distillation for Image Restoration: Efficient Model Compression for Drones,Yongheng Zhang,2025,Drones,1,Semantic Scholar,knowledge_distillation_medical_segmentation,10.3390/drones9030209,https://www.semanticscholar.org/paper/53a808bf93c7f1cdf982da064375139dc9be2c50,"Deploying high-performance image restoration models on drones is critical for applications like autonomous navigation, surveillance, and environmental monitoring. However, the computational and memory limitations of drones pose significant challenges to utilizing complex image restoration models in real-world scenarios. To address this issue, we propose the Simultaneous Learning Knowledge Distilla..."
192,18.0,General,[A semi-supervised network-based tissue-aware contrast enhancement method for CT images].,H Zhou; D Zeng; Z Bian; J Ma,2023,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,0,PubMed,core_topic,10.12122/j.issn.1673-4254.2023.06.14,https://pubmed.ncbi.nlm.nih.gov/37439171/,"To propose a tissue- aware contrast enhancement network (T- ACEnet) for CT image enhancement and validate its accuracy in CT image organ segmentation tasks. The original CT images were mapped to generate low dynamic grayscale images with lung and soft tissue window contrasts, and the supervised sub-network learned to recognize the optimal window width and level setting of the lung and abdominal so..."
193,18.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Knowledge Distillation for Quantized Vehicle Sensor Data,Christopher Vox; Onno Niemann; David Broneske; Jan Piewek,2023,International Conference on Machine Learning and Applications,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/ICMLA58977.2023.00134,https://www.semanticscholar.org/paper/6cd261438444b97215b2a82128cfd5dabe26965e,"Semantic segmentation is a major research field in computer vision with applications in fields such as autonomous driving, medical image analysis and video surveillance. A large share of recent improvements in model performance is a result of increases in model sizes or quality of sensors, while many areas of application require real-time segmentation and small and efficient models. Various studie..."
194,18.0,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Graph Flow: Cross-Layer Graph Flow Distillation for Dual Efficient Medical Image Segmentation.,Wenxuan Zou; Xingqun Qi; Wanting Zhou; Muyi Sun,2023,IEEE transactions on medical imaging,0,PubMed,knowledge_distillation_medical_segmentation,10.1109/TMI.2022.3224459,https://pubmed.ncbi.nlm.nih.gov/36423314/,"With the development of deep convolutional neural networks, medical image segmentation has achieved a series of breakthroughs in recent years. However, high-performance convolutional neural networks always mean numerous parameters and high computation costs, which will hinder the applications in resource-limited medical scenarios. Meanwhile, the scarceness of large-scale annotated medical image da..."
195,17.2,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Efficient Medical Image Segmentation Based on Knowledge Distillation,Dian Qin; Jiajun Bu; Zhe Liu; Xin Shen,2021,IEEE Transactions on Medical Imaging,162,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/TMI.2021.3098703,https://www.semanticscholar.org/paper/f4d845c40176c349ef9701cb379f7959ca2a47f2,"Recent advances have been made in applying convolutional neural networks to achieve more precise prediction results for medical image segmentation problems. However, the success of existing methods has highly relied on huge computational complexity and massive storage, which is impractical in the real-world scenario. To deal with this problem, we propose an efficient architecture by distilling kno..."
