Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
120,24.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",MSKD: Structured knowledge distillation for efficient medical image segmentation.,Libo Zhao; Xiaolong Qian; Yinghui Guo; Jiaqi Song,2023,Computers in biology and medicine,0,PubMed,knowledge_distillation_medical_segmentation,10.1016/j.compbiomed.2023.107284,https://pubmed.ncbi.nlm.nih.gov/37572439/,"In recent years, deep learning has revolutionized the field of medical image segmentation by enabling the development of powerful deep neural networks. However, these models tend to be complex and computationally demanding, posing challenges for practical implementation in clinical settings. To address this issue, we propose an efficient structured knowledge distillation framework that leverages a..."
121,24.0,"RW:MedicalSegmentation, RW:Dataset",SegWithU: Uncertainty as Perturbation Energy for Single-Forward-Pass Risk-Aware Medical Image Segmentation,Tianhao Fu; Austin Wang; Charles Chen; Roby Aldave-Garza,2026,arXiv,0,arXiv,"core_topic, masked_image_modeling_medical, catastrophic_forgetting_medical, ewc_lwf_replay_segmentation, sequential_organ_segmentation, unet_self_supervised_medical, knowledge_distillation_medical_segmentation, federated_ssl_medical_forgetting, medical_decathlon_benchmark_ssl",N/A,http://arxiv.org/abs/2604.15271v1,"Reliable uncertainty estimation is critical for medical image segmentation, where automated contours feed downstream quantification and clinical decision support. Many strong uncertainty methods require repeated inference, while efficient single-forward-pass alternatives often provide weaker failure ranking or rely on restrictive feature-space assumptions. We present $\textbf{SegWithU}$, a post-ho..."
122,24.0,General,Boundary-Centric Active Learning for Temporal Action Segmentation,Halil Ismail Helvaci; Sen-ching Samson Cheung,2026,arXiv,0,arXiv,"core_topic, masked_image_modeling_medical, ewc_lwf_replay_segmentation, sequential_organ_segmentation, unet_self_supervised_medical, knowledge_distillation_medical_segmentation, medical_decathlon_benchmark_ssl",N/A,http://arxiv.org/abs/2604.15173v1,"Temporal action segmentation (TAS) demands dense temporal supervision, yet most of the annotation cost in untrimmed videos is spent identifying and refining action transitions, where segmentation errors concentrate and small temporal shifts disproportionately degrade segmental metrics. We introduce B-ACT, a clip-budgeted active learning framework that explicitly allocates supervision to these high..."
123,24.0,"RW:Architecture, RW:MedicalSegmentation",Comparison of automated segmentation techniques for magnetic resonance images of the prostate.,Lars Johannes Isaksson; Matteo Pepa; Paul Summers; Mattia Zaffaroni,2023,BMC medical imaging,0,PubMed,masked_image_modeling_medical,10.1186/s12880-023-00974-y,https://pubmed.ncbi.nlm.nih.gov/36774463/,Contouring of anatomical regions is a crucial step in the medical workflow and is both time-consuming and prone to intra- and inter-observer variability. This study compares different strategies for automatic segmentation of the prostate in T2-weighted MRIs. This study included 100 patients diagnosed with prostate adenocarcinoma who had undergone multi-parametric MRI and prostatectomy. From the T2...
124,23.7,"RW:KnowledgeDistillation, RW:MedicalSegmentation","Enhancing efficient deep learning models with multimodal, multi-teacher insights for medical image segmentation",Khondker Fariha Hossain; S. Kamran; J. Ong; Alireza Tavakkoli,2025,Scientific Reports,8,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1038/s41598-025-91430-0,https://www.semanticscholar.org/paper/0453ae125a46238be0d25758cf0ce078099ba1a6,"The rapid evolution of deep learning has dramatically enhanced the field of medical image segmentation, leading to the development of models with unprecedented accuracy in analyzing complex medical images. Deep learning-based segmentation holds significant promise for advancing clinical care and enhancing the precision of medical interventions. However, these models’ high computational demand and ..."
125,23.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Adaptive Knowledge Transferring with Switching Dual-Student Framework for Semi-Supervised Medical Image Segmentation,Thanh-Huy Nguyen; Hoang-Thien Nguyen; B. Lam; Vi Vu,2025,Pattern Recognition,2,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1016/j.patcog.2026.113115,https://www.semanticscholar.org/paper/a19102d36dc4089c083f22725f7d59e40312ae9e,"Teacher-student frameworks have emerged as a leading approach in semi-supervised medical image segmentation, demonstrating strong performance across various tasks. However, the learning effects are still limited by the strong correlation and unreliable knowledge transfer process between teacher and student networks. To overcome this limitation, we introduce a novel switching Dual-Student architect..."
126,23.5,RW:MedicalSegmentation,SAM-Med3D: A Vision Foundation Model for General-Purpose Segmentation on Volumetric Medical Images.,Haoyu Wang; Sizheng Guo; Jin Ye; Zhongying Deng,2025,IEEE transactions on neural networks and learning systems,0,PubMed,masked_image_modeling_medical,10.1109/TNNLS.2025.3586694,https://pubmed.ncbi.nlm.nih.gov/40742874/,"Existing volumetric medical image segmentation models are typically task-specific, excelling at specific targets but struggling to generalize across anatomical structures or modalities. This limitation restricts their broader clinical use. In this article, we introduce segment anything model (SAM)-Med3D, a vision foundation model (VFM) for general-purpose segmentation on volumetric medical images...."
127,23.5,General,Seeing Through Experts Eyes A Foundational Vision Language Model Trained on Radiologists Gaze and Reasoning,Kinhei Lee; Peiyuan Jing; Zhenxuan Zhang; Yue Yang,2026,arXiv,0,arXiv,sparse_masked_cnn_pretraining,N/A,http://arxiv.org/abs/2604.14316v1,"Large scale vision language models have shown promise in automating chest Xray interpretation, yet their clinical utility remains limited by a gap between model outputs and radiologist reasoning. Most systems optimize for semantic information without emulating how experts visually examine medical images, often overlooking critical findings or diverging from established diagnostic workflows. Radiol..."
128,23.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation, RW:Dataset",Region Contrast Distillation for Medical Image Segmentation,Jiahao Pu; Wanli Dong; Jiachuan Fan; Ning Jiang,2025,IEEE International Joint Conference on Neural Network,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/IJCNN64981.2025.11228818,https://www.semanticscholar.org/paper/28e078a62785732ffa8dcb64b082d08034512d81,"Recent advancements in deep learning have significantly boosted medical image segmentation, but the increasing number of parameters and computations pose challenges for deploying models in resource-constrained environments. To address this issue, we propose an effective structured knowledge transfer framework that uses a well-performing teacher model to train a lightweight student model. Specifica..."
129,23.5,"RW:KnowledgeDistillation, RW:MedicalSegmentation",Hybrid Knowledge Distillation for Generalizable Lightweight Models in Medical Image Recognition,Yu-Ting Lai; Cheng Huang; Tsung-Hsuan Lee; Ting-Yu Lin,2025,International Conference on Fuzzy Theory and Its Applications,0,Semantic Scholar,knowledge_distillation_medical_segmentation,10.1109/iFUZZY67152.2025.11286811,https://www.semanticscholar.org/paper/0caec5c66b6bfd0d8fd3f7c0d55794217977eab5,"This study addresses the challenge of deploying accurate yet computationally efficient models for medical image recognition. We propose a hybrid knowledge distillation (KD) strategy that integrates both response-based and feature-based approaches. The method strengthens a lightweight student network by enabling it to learn from a deeper teacher model, with joint optimization guided by a dual-loss ..."
